Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
JA1016	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD163700245	AMPAM	SOCAL (AMPAM)			1210.0 (AMPAM) (Responsible: Unassigned)	8/14/2018					12/15/2016	POWER TOOLS	RIGHT ANGLE DRILL	
JA1018	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD1644-00265	AMPAM	SOCAL (AMPAM)									1/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1019	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD164400589	AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	12/10/2018					2/14/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1020	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD164401470	AMPAM	SOCAL (AMPAM)			1136.0 (AMPAM) (Responsible: Unassigned)	2/17/2017					2/17/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1021	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD164401468	AMPAM	SOCAL (AMPAM)			1089.0 (AMPAM) (Responsible: Unassigned)	2/23/2017				Lost	2/23/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1022	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD164401388	AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/16/2018					4/18/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1023	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD1626-00001	AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					4/18/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1025	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD1644-01408	AMPAM	SOCAL (AMPAM)									4/18/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1026	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD164401408	AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	4/6/2018					4/18/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1027	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD165300020	AMPAM	SOCAL (AMPAM)			1210.0 (AMPAM) (Responsible: Unassigned)	2/12/2019					4/26/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1028	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD171100215	AMPAM	SOCAL (AMPAM)			1210.0 (AMPAM) (Responsible: Unassigned)	8/29/2018					5/22/2017	POWER TOOLS	RIGHT ANGLE DRILL	
